SampleID	Tissue	Genotype	Treatment	group	antibody	control	Replicate	MergeID	paired	acc	spots	avgLength
ARF34_R1_T1			ZmARF34	ARF34	ARF34	GST-HALO	1	m01	FALSE	SRR6830279	40746798	75.18979935552237
ARF16_R1_T1			ZmARF16	ARF16	ARF16	GST-HALO	1	m02	FALSE	SRR6830280	28551131	75.68489108189794
ARF18_R1_T1			ZmARF18	ARF18	ARF18	GST-HALO	1	m03	FALSE	SRR6830281	28371502	75.65729537336445
ARF35_R1_T1			ZmARF35	ARF35	ARF35	GST-HALO	1	m04	FALSE	SRR6830282	40294472	74.9969123556204
ARF27_R1_T1			ZmARF27	ARF27	ARF27	GST-HALO	1	m05	FALSE	SRR6830283	48659869	75.05461375163176
ARF4_R1_T1			ZmARF4	ARF4	ARF4	GST-HALO	1	m06	FALSE	SRR6830284	20233070	75.68357555230126
ARF29_R1_T1			ZmARF29	ARF29	ARF29	GST-HALO	1	m07	FALSE	SRR6830285	25473798	75.66857694325753
ARF10_R1_T1			ZmARF10	ARF10	ARF10	GST-HALO	1	m08	FALSE	SRR6830286	18121991	75.64212806418456
ARF13_R1_T1			ZmARF13	ARF13	ARF13	GST-HALO	1	m09	FALSE	SRR6830287	24930195	75.61334867216242
ARF14_R1_T1			ZmARF14	ARF14	ARF14	GST-HALO	1	m10	FALSE	SRR6830288	14159612	75.38042892700732
ARF25_R1_T1			ZmARF25	ARF25	ARF25	GST-HALO	1	m11	FALSE	SRR6830289	14410671	75.3589953583702
ARF39_R1_T1			ZmARF39	ARF39	ARF39	GST-HALO	1	m12	FALSE	SRR6830290	18838361	75.15078206644411
ARF36_R1_T1			ZmARF36	ARF36	ARF36	GST-HALO	1	m13	FALSE	SRR6830291	13082237	75.39888835525606
ARF7_R1_T1			ZmARF7	ARF7	ARF7	GST-HALO	1	m14	FALSE	SRR6830292	12949888	75.40581694606162
GST-HALO_R1_T1			GST-HALO	GST-HALO			1	m15	FALSE	SRR6830293	27640102	74.55103295204917
