sid	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap
ARF10_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	18121608	0	0	18107207	7469194	6825519	16212721	14401
ARF13_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	24929696	0	0	24910930	9497468	8714769	22401221	18766
ARF14_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	14159437	0	0	14151156	5888006	5565118	13117160	8281
ARF16_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	28550697	0	0	28519683	13538356	12489222	26042854	31014
ARF18_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	28371028	0	0	28346364	11439431	10523765	25672650	24664
ARF25_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	14410450	0	0	14401275	5714122	5395122	13216268	9175
ARF27_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	48659186	0	0	48598788	22178814	20028801	43304670	60398
ARF29_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	25473427	0	0	25449163	10984789	10147949	23152755	24264
ARF34_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	40746282	0	0	40694246	19971681	18087934	36419321	52036
ARF35_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	40293909	0	0	40254676	16113446	14580841	35685998	39233
ARF36_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	13082024	0	0	13076216	5389844	5127658	12240946	5808
ARF39_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	18838060	0	0	18817155	7538532	6615895	16274645	20905
ARF4_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	20232817	0	0	20212855	9597811	8872517	18461479	19962
ARF7_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	12949160	0	0	12942713	4934321	4672491	12047224	6447
GST-HALO_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	27630933	0	0	27591857	10718866	9856156	25144919	39076
