sid	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap
H4k5ac_B73_input_R1.stat	10427425	0	0	10416035	7811078	6673708	8677798	1418	647	220	446	9972	0	0	0	0	0	0	0	0
H4k5ac_B73_input_R2.stat	11285767	0	0	11256263	8421309	7087354	9229092	2416	1093	307	662	27088	0	0	0	0	0	0	0	0
H4K5ac_B73_R1.stat	9422756	0	0	9237409	7768733	6399593	7455433	8482	3424	1553	3742	176865	0	0	0	0	0	0	0	0
H4K5ac_B73_R2.stat	10196306	0	0	10049624	8339823	6918886	8156326	7934	3271	1536	3731	138748	0	0	0	0	0	0	0	0
H4K5ac_B73_R3.stat	11870745	0	0	11524038	9559338	7933076	9360579	12771	4933	2597	6276	333936	0	0	0	0	0	0	0	0
H4K5ac_hda101_input_R1.stat	12675165	0	0	12656755	8938021	6916974	9196118	5175	2624	596	1249	13235	0	0	0	0	0	0	0	0
H4K5ac_hda101_input_R2.stat	13107649	0	0	13090188	9238964	7042703	9372939	5348	2753	608	1313	12113	0	0	0	0	0	0	0	0
H4K5ac_hda101_R1.stat	11145078	0	0	10894065	8780454	6364354	7543093	26313	13236	3103	6940	224700	0	0	0	0	0	0	0	0
H4K5ac_hda101_R2.stat	10828347	0	0	10706071	8575525	6266261	7463248	21902	11875	2607	5240	100374	0	0	0	0	0	0	0	0
H4K5ac_hda101_R3.stat	9018589	0	0	8764000	6939999	5101199	6121700	19622	9159	1974	5400	234967	0	0	0	0	0	0	0	0
HDA101_B73_input_R1.stat	12216127	0	0	12170820	9016027	7475556	9816206	2750	1245	477	966	42557	0	0	0	0	0	0	0	0
HDA101_B73_input_R2.stat	12396928	0	0	12315676	8644710	7758802	10840354	19945	8063	6962	15933	61307	0	0	0	0	0	0	0	0
HDA101_B73_R1.stat	9859469	0	0	8861426	6619005	5457933	7127770	32332	11936	8714	21452	965711	0	0	0	0	0	0	0	0
HDA101_B73_R2.stat	20308872	0	0	18958878	14124794	12826133	16736130	152422	59747	53164	123011	1197572	0	0	0	0	0	0	0	0
HDA101_hda101_input_R1.stat	11565436	0	0	11516769	7509318	5004970	6895431	19569	9569	1237	2886	29098	0	0	0	0	0	0	0	0
HDA101_hda101_input_R2.stat	13627345	0	0	13481705	8999080	7199022	10221507	50634	20225	14519	35587	95006	0	0	0	0	0	0	0	0
HDA101_hda101_R1.stat	5297729	0	0	4442706	2981990	1975221	2681995	44838	17807	8846	23404	810185	0	0	0	0	0	0	0	0
HDA101_hda101_R2.stat	11135646	0	0	9936423	6803364	5655423	7789152	417440	163025	141628	347468	781783	0	0	0	0	0	0	0	0
