SampleID	Tissue	Genotype	Treatment	group	antibody	control	Replicate	paired	acc	spots	avgLength
RNAPII_R2_T1	seedling		RNAPII	RNAPII	RNAPII	input	2	TRUE	SRR9016265	22736990	296
H3K27ac_R1_T1	seedling		H3K27ac	H3K27ac	H3K27ac	input	1	TRUE	SRR9016266	16678024	291
H3K4me1_R1_T1	seedling		H3K4me1	H3K4me1	H3K4me1	input	1	TRUE	SRR9016267	20428857	300
RNAPII_R1_T1	seedling		RNAPII	RNAPII	RNAPII	input	1	TRUE	SRR9016268	20487481	300
H3K27me3_R1_T1	seedling		H3K27me3	H3K27me3	H3K27me3	input	1	TRUE	SRR9016269	29150838	300
H3K4me3_R1_T1	seedling		H3K4me3	H3K4me3	H3K4me3	input	1	TRUE	SRR9016270	14271569	300
input_R1_T1	seedling		input	input			1	TRUE	SRR9016273	9670542	300
H3K27ac_R2_T1	seedling		H3K27ac	H3K27ac	H3K27ac	input	2	TRUE	SRR9016279	29401145	298
H3K27me3_R2_T1	seedling		H3K27me3	H3K27me3	H3K27me3	input	2	TRUE	SRR9016280	27287409	296
H3K4me3_R2_T1	seedling		H3K4me3	H3K4me3	H3K4me3	input	2	TRUE	SRR9016281	23292661	298
H3K4me1_R2_T1	seedling		H3K4me1	H3K4me1	H3K4me1	input	2	TRUE	SRR9016282	17264192	290
