sid	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap
H3K27ac_R1.stat	16621398	0	0	16264959	15372490	9030120	9590905	32452	26332	9575	11754	323987	0	0	0	0	0	0	0	0
H3K27ac_R2.stat	29341921	0	0	28961004	27660438	18681598	19569203	52168	43512	19513	22297	328749	0	0	0	0	0	0	0	0
H3K27me3_R1.stat	29087982	0	0	27487495	23264313	15836069	18638404	64941	39714	19633	30804	1535546	0	0	0	0	0	0	0	0
H3K27me3_R2.stat	27232882	0	0	24701120	22298911	17086801	18886702	55760	31279	13204	22514	2476002	0	0	0	0	0	0	0	0
H3K4me1_R1.stat	20399092	0	0	20283526	18366188	12401354	13631974	52440	40067	20485	25934	63126	0	0	0	0	0	0	0	0
H3K4me1_R2.stat	17241553	0	0	17157005	15299241	11312419	12662652	12977	9377	4807	6322	71571	0	0	0	0	0	0	0	0
H3K4me3_R1.stat	14251101	0	0	12114820	11117815	6892547	7512160	29259	18326	8600	12830	2107022	0	0	0	0	0	0	0	0
H3K4me3_R2.stat	23253572	0	0	22984151	22230053	15160744	15681759	37549	31368	13965	15850	231872	0	0	0	0	0	0	0	0
input_R1.stat	9652866	0	0	9566399	6883731	4283872	5868695	11940	5201	1609	3375	74527	0	0	0	0	0	0	0	0
RNAPII_R1.stat	20466404	0	0	19195988	15774081	10508469	12526432	32659	16742	6357	11562	1237757	0	0	0	0	0	0	0	0
RNAPII_R2.stat	22673268	0	0	18353372	14623211	10973016	13728637	88562	33318	15831	45202	4231334	0	0	0	0	0	0	0	0
