SampleID	Tissue	Genotype	Treatment	group	control	replicate	paired	r0	r1	r2
BN1	leaf	B73	control	BN		1	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/BN1_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/BN1_R2.fq.gz
BN2	leaf	B73	control	BN		2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/BN2_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/BN2_R2.fq.gz
MN1	leaf	Mo17	control	MN		1	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/MN1_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/MN1_R2.fq.gz
MN2	leaf	Mo17	control	MN		2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/MN2_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/MN2_R2.fq.gz
ON1	leaf	Oh43	control	ON		1	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/ON1_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/ON1_R2.fq.gz
ON2	leaf	Oh43	control	ON		2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/ON2_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/ON2_R2.fq.gz
WN1	leaf	W22	control	WN		1	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/WN1_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/WN1_R2.fq.gz
WN2	leaf	W22	control	WN		2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/WN2_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/WN2_R2.fq.gz
BN1a	leaf	B73	control	BNa		1	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/BN1a_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/BN1a_R2.fq.gz
BN2a	leaf	B73	control	BNa		2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/BN2a_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/BN2a_R2.fq.gz
MN1a	leaf	Mo17	control	MNa		1	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/MN1a_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/MN1a_R2.fq.gz
MN2a	leaf	Mo17	control	MNa		2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/MN2a_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/MN2a_R2.fq.gz
ON1a	leaf	Oh43	control	ONa		1	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/ON1a_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/ON1a_R2.fq.gz
ON2a	leaf	Oh43	control	ONa		2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/ON2a_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/ON2a_R2.fq.gz
WN1a	leaf	W22	control	WNa		1	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/WN1a_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/WN1a_R2.fq.gz
WN2a	leaf	W22	control	WNa		2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/WN2a_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/WN2a_R2.fq.gz
BH4	leaf	B73	heat	BH		4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/BH4_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/BH4_R2.fq.gz
BH5	leaf	B73	heat	BH		5	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/BH5_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/BH5_R2.fq.gz
MH4	leaf	Mo17	heat	MH		4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/MH4_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/MH4_R2.fq.gz
MH5	leaf	Mo17	heat	MH		5	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/MH5_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/MH5_R2.fq.gz
OH1	leaf	Oh43	heat	OH		1	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/OH1_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/OH1_R2.fq.gz
OH5	leaf	Oh43	heat	OH		5	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/OH5_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/OH5_R2.fq.gz
WH4	leaf	W22	heat	WH		4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/WH4_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/WH4_R2.fq.gz
WH5	leaf	W22	heat	WH		5	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/WH5_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/WH5_R2.fq.gz
BC4	leaf	B73	cold	BC		4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/BC4_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/BC4_R2.fq.gz
BC5	leaf	B73	cold	BC		5	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/BC5_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/BC5_R2.fq.gz
MC1	leaf	Mo17	cold	MC		1	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/MC1_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/MC1_R2.fq.gz
MC5	leaf	Mo17	cold	MC		5	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/MC5_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/MC5_R2.fq.gz
OC2	leaf	Oh43	cold	OC		2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/OC2_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/OC2_R2.fq.gz
OC5	leaf	Oh43	cold	OC		5	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/OC5_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/OC5_R2.fq.gz
WC1	leaf	W22	cold	WC		1	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/WC1_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/WC1_R2.fq.gz
WC5	leaf	W22	cold	WC		5	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/WC5_R1.fq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.ca20a/WC5_R2.fq.gz
