Geneid	Chr	Start	End	Strand	Length	21_bam_clean/P1_MYB3_R1.mLb.flT.bam	x1.bam	x2.bam
Interval_1	B01	49980	50130	+	151	42	0	0
Interval_2	B01	82890	83084	+	195	28	0	0
Interval_3	B01	121269	121418	+	150	22	0	0
Interval_4	B01	715783	715898	+	116	25	1	2
Interval_5	B01	744290	744494	+	205	24	3	4
Interval_6	B01	1058172	1058452	+	281	92	6	1
Interval_7	B01	1205618	1205910	+	293	61	0	0
Interval_8	B01	1475102	1475199	+	98	12	0	0
Interval_9	B01	1561177	1561325	+	149	49	0	0
Interval_10	B01	1773560	1773693	+	134	18	5	0
Interval_11	B01	1812281	1812498	+	218	109	25	5
Interval_12	B01	1841836	1842030	+	195	89	0	0
Interval_13	B01	1940669	1940870	+	202	91	0	0
Interval_14	B01	2088917	2089038	+	122	9	7	0
Interval_15	B01	2438885	2439068	+	184	21	1	0
Interval_16	B01	2463115	2463245	+	131	34	0	0
Interval_17	B01	2630555	2630698	+	144	14	0	0
Interval_18	B01	2634648	2634779	+	132	27	0	0
Interval_19	B01	2749889	2750022	+	134	29	0	0
Interval_20	B01	2779198	2779327	+	130	21	11	2
Interval_21	B01	2780325	2780443	+	119	27	0	0
Interval_22	B01	2995980	2996123	+	144	40	0	0
Interval_23	B01	3098695	3098813	+	119	44	32	0
Interval_24	B01	3099741	3099884	+	144	32	27	0
Interval_25	B01	3169539	3169657	+	119	19	0	0
Interval_26	B01	3175228	3175385	+	158	59	7	0
Interval_27	B01	3281685	3281795	+	111	31	20	0
Interval_28	B01	3478060	3478195	+	136	30	5	2
Interval_29	B01	3480884	3481008	+	125	37	0	0
Interval_30	B01	3852497	3852687	+	191	40	0	0
Interval_31	B01	3914984	3915140	+	157	42	0	0
Interval_32	B01	3965974	3966146	+	173	45	0	0
Interval_33	B01	3976899	3977038	+	140	36	4	0
Interval_34	B01	4240203	4240320	+	118	19	0	0
Interval_35	B01	4284920	4285034	+	115	24	0	0
Interval_36	B01	4294033	4294218	+	186	64	0	0
Interval_37	B01	4541242	4541382	+	141	27	7	0
Interval_38	B01	4660728	4660894	+	167	30	0	0
Interval_39	B01	4668080	4668195	+	116	26	19	0
Interval_40	B01	4713139	4713417	+	279	72	34	8
Interval_41	B01	4725467	4725628	+	162	47	0	0
Interval_42	B01	4936482	4936625	+	144	16	0	0
Interval_43	B01	4977233	4977345	+	113	23	5	0
Interval_44	B01	5122905	5123028	+	124	19	4	0
Interval_45	B01	5410891	5411061	+	171	34	14	4
Interval_46	B01	5461314	5461433	+	120	24	20	0
Interval_47	B01	5468124	5468291	+	168	28	8	1
Interval_48	B01	5482679	5482776	+	98	22	0	0
Interval_49	B01	5805974	5806137	+	164	64	0	0
Interval_50	B01	5811840	5811970	+	131	29	2	0
Interval_51	B01	5949957	5950066	+	110	20	0	0
Interval_52	B01	6087592	6087726	+	135	28	3	0
Interval_53	B01	6108045	6108238	+	194	47	0	0
Interval_54	B01	6274021	6274138	+	118	26	2	3
Interval_55	B01	6274394	6274507	+	114	31	6	0
Interval_56	B01	6319891	6320005	+	115	42	0	0
Interval_57	B01	6329227	6329380	+	154	41	0	0
Interval_58	B01	6838559	6838661	+	103	22	0	0
Interval_59	B01	6873347	6873462	+	116	30	23	2
Interval_60	B01	6875311	6875454	+	144	15	2	3
Interval_61	B01	7151181	7151325	+	145	34	0	0
Interval_62	B01	7180953	7181058	+	106	31	0	0
Interval_63	B01	7304512	7304652	+	141	29	18	0
Interval_64	B01	7310346	7310492	+	147	43	21	0
Interval_65	B01	7682774	7682938	+	165	44	5	0
Interval_66	B01	7773422	7773538	+	117	17	0	0
Interval_67	B01	7781874	7781978	+	105	17	0	0
Interval_68	B01	7843919	7844097	+	179	29	0	0
Interval_69	B01	7969339	7969531	+	193	48	24	0
Interval_70	B01	8036863	8036994	+	132	30	12	12
Interval_71	B01	8316689	8316863	+	175	30	7	6
Interval_72	B01	8553703	8553834	+	132	38	14	0
Interval_73	B01	8555823	8555920	+	98	15	0	0
Interval_74	B01	8680965	8681106	+	142	17	0	0
Interval_75	B01	8780348	8780474	+	127	33	0	0
Interval_76	B01	8800626	8800879	+	254	35	11	0
Interval_77	B01	8808865	8809034	+	170	16	8	2
Interval_78	B01	8857219	8857361	+	143	20	0	0
Interval_79	B01	9029935	9030089	+	155	24	1	6
Interval_80	B01	9368051	9368324	+	274	54	5	4
Interval_81	B01	9476367	9476477	+	111	25	0	0
Interval_82	B01	9580448	9580573	+	126	24	0	0
Interval_83	B01	9584310	9584455	+	146	31	8	7
Interval_84	B01	9785165	9785277	+	113	36	22	0
Interval_85	B01	9887820	9887935	+	116	21	5	0
Interval_86	B01	9989087	9989234	+	148	47	8	0
Interval_87	B01	10263368	10263559	+	192	63	27	12
Interval_88	B01	10494685	10494839	+	155	46	0	0
Interval_89	B01	10537980	10538125	+	146	21	0	0
Interval_90	B01	10571947	10572097	+	151	22	0	0
Interval_91	B01	10875112	10875268	+	157	50	0	0
Interval_92	B01	10988966	10989088	+	123	20	18	1
Interval_93	B01	11046656	11046835	+	180	44	0	0
Interval_94	B01	11417950	11418066	+	117	25	0	0
Interval_95	B01	11430103	11430249	+	147	28	0	0
Interval_96	B01	11670133	11670280	+	148	29	7	1
Interval_97	B01	11728572	11728732	+	161	36	0	0
Interval_98	B01	11957096	11957276	+	181	40	0	0
Interval_99	B01	11978044	11978202	+	159	22	0	0
Interval_100	B01	12041425	12041582	+	158	15	0	0
Interval_101	B01	12147586	12147685	+	100	19	0	0
Interval_102	B01	12279892	12280031	+	140	16	0	0
Interval_103	B01	12330303	12330417	+	115	34	11	0
Interval_104	B01	12394877	12395115	+	239	50	3	3
Interval_105	B01	12395650	12395749	+	100	13	8	5
Interval_106	B01	12430574	12430798	+	225	37	0	0
Interval_107	B01	12544096	12544235	+	140	25	0	0
Interval_108	B01	12594939	12595036	+	98	15	7	5
Interval_109	B01	12630851	12630990	+	140	23	0	0
Interval_110	B01	12676674	12676804	+	131	18	7	1
Interval_111	B01	12716260	12716382	+	123	19	6	1
Interval_112	B01	13180258	13180413	+	156	33	5	0
Interval_113	B01	13560068	13560260	+	193	32	3	0
Interval_114	B01	13583284	13583390	+	107	22	6	1
Interval_115	B01	13761890	13761998	+	109	31	0	0
Interval_116	B01	13762217	13762314	+	98	24	3	0
Interval_117	B01	13825769	13826027	+	259	59	8	1
Interval_118	B01	13905332	13905446	+	115	21	0	0
Interval_119	B01	13962588	13962740	+	153	21	1	0
Interval_120	B01	14013752	14013865	+	114	25	0	0
Interval_121	B01	14204139	14204239	+	101	18	0	0
Interval_122	B01	14208007	14208139	+	133	33	0	0
Interval_123	B01	14225190	14225287	+	98	16	1	0
Interval_124	B01	14251129	14251262	+	134	21	4	0
Interval_125	B01	14252815	14253004	+	190	40	2	0
Interval_126	B01	14424421	14424604	+	184	41	0	0
Interval_127	B01	14479454	14479582	+	129	17	0	0
Interval_128	B01	14480460	14480632	+	173	26	0	0
Interval_129	B01	14489421	14489537	+	117	25	0	0
Interval_130	B01	14492582	14492679	+	98	20	0	0
Interval_131	B01	14591179	14591383	+	205	53	3	0
Interval_132	B01	14592099	14592252	+	154	54	0	0
Interval_133	B01	14704541	14704697	+	157	34	0	0
Interval_134	B01	14736222	14736348	+	127	39	0	0
Interval_135	B01	14748790	14748920	+	131	20	0	0
Interval_136	B01	14786238	14786383	+	146	21	21	0
Interval_137	B01	14881882	14882014	+	133	21	6	0
Interval_138	B01	14999039	14999160	+	122	23	17	0
Interval_139	B01	15024931	15025096	+	166	45	28	0
Interval_140	B01	15026752	15026912	+	161	59	35	0
Interval_141	B01	15133253	15133350	+	98	15	7	0
Interval_142	B01	15176305	15176425	+	121	40	8	0
Interval_143	B01	15336443	15336688	+	246	51	0	0
Interval_144	B01	15372786	15372940	+	155	48	0	0
Interval_145	B01	15572049	15572147	+	99	26	0	0
Interval_146	B01	15937166	15937321	+	156	41	0	0
Interval_147	B01	16203461	16203607	+	147	28	4	1
Interval_148	B01	16203957	16204142	+	186	37	3	5
Interval_149	B01	16228145	16228280	+	136	41	7	1
Interval_150	B01	16238167	16238274	+	108	26	14	0
Interval_151	B01	16306675	16306838	+	164	36	0	0
Interval_152	B01	16883140	16883278	+	139	22	13	0
Interval_153	B01	17138681	17138790	+	110	21	0	0
Interval_154	B01	17155117	17155230	+	114	30	9	0
Interval_155	B01	17352199	17352559	+	361	194	106	0
Interval_156	B01	17553555	17553656	+	102	18	0	0
Interval_157	B01	17614387	17614527	+	141	38	0	0
Interval_158	B01	17721555	17721694	+	140	31	0	0
Interval_159	B01	18005131	18005293	+	163	35	0	0
Interval_160	B01	18088787	18088922	+	136	16	1	2
Interval_161	B01	18149557	18149678	+	122	25	25	0
Interval_162	B01	18154714	18154816	+	103	14	1	0
Interval_163	B01	18213058	18213272	+	215	39	18	0
Interval_164	B01	18270918	18271021	+	104	14	11	0
Interval_165	B01	18271204	18271380	+	177	19	18	0
Interval_166	B01	18312494	18312680	+	187	37	18	0
Interval_167	B01	18947347	18947499	+	153	24	6	0
Interval_168	B01	19157822	19157929	+	108	16	7	0
Interval_169	B01	19222308	19222524	+	217	60	7	5
Interval_170	B01	19466943	19467040	+	98	11	0	0
Interval_171	B01	19583795	19583972	+	178	44	0	0
Interval_172	B01	19597588	19597715	+	128	21	0	0
Interval_173	B01	19667345	19667475	+	131	17	2	0
Interval_174	B01	19689834	19690131	+	298	81	62	0
Interval_175	B01	19724089	19724223	+	135	15	0	0
Interval_176	B01	19789923	19790091	+	169	53	4	1
Interval_177	B01	19793359	19793459	+	101	12	3	0
Interval_178	B01	19970465	19970619	+	155	39	25	0
Interval_179	B01	19988948	19989100	+	153	23	4	0
Interval_180	B01	20133590	20133710	+	121	16	4	0
Interval_181	B01	20263466	20263587	+	122	37	0	0
Interval_182	B01	20269522	20269685	+	164	18	14	0
Interval_183	B01	20938124	20938225	+	102	18	0	0
Interval_184	B01	20938893	20939000	+	108	13	0	0
Interval_185	B01	21775603	21775730	+	128	22	15	1
Interval_186	B01	21900584	21900701	+	118	22	0	0
Interval_187	B01	21901011	21901140	+	130	24	13	0
Interval_188	B01	21996910	21997051	+	142	24	0	0
Interval_189	B01	22267351	22267520	+	170	39	7	6
Interval_190	B01	22665912	22666070	+	159	43	0	0
Interval_191	B01	22741972	22742084	+	113	15	9	1
Interval_192	B01	22892622	22892760	+	139	31	0	0
Interval_193	B01	22894306	22894471	+	166	66	0	0
Interval_194	B01	22895755	22895971	+	217	88	4	0
Interval_195	B01	23012088	23012191	+	104	23	0	0
Interval_196	B01	23028283	23028380	+	98	18	0	0
Interval_197	B01	23148654	23148751	+	98	29	3	6
Interval_198	B01	23379221	23379394	+	174	50	0	0
Interval_199	B01	23571167	23571355	+	189	33	18	0
Interval_200	B01	23612433	23612562	+	130	35	0	0
Interval_201	B01	23769001	23769122	+	122	23	0	0
Interval_202	B01	24116532	24116629	+	98	18	1	1
Interval_203	B01	24312795	24312971	+	177	44	0	0
Interval_204	B01	24498829	24498989	+	161	20	0	0
Interval_205	B01	24670332	24670477	+	146	47	22	0
Interval_206	B01	24761632	24761791	+	160	21	0	0
Interval_207	B01	24779801	24779912	+	112	22	4	0
Interval_208	B01	24828286	24828454	+	169	34	0	0
Interval_209	B01	24970326	24970437	+	112	24	0	0
Interval_210	B01	25004093	25004466	+	374	96	0	0
Interval_211	B01	25049117	25049223	+	107	17	6	5
Interval_212	B01	25053725	25053847	+	123	16	0	0
Interval_213	B01	25054732	25054911	+	180	38	0	0
Interval_214	B01	25061583	25061683	+	101	16	0	0
Interval_215	B01	25203488	25203628	+	141	19	3	0
Interval_216	B01	25496774	25497086	+	313	89	0	0
Interval_217	B01	25730330	25730431	+	102	23	0	0
Interval_218	B01	25733663	25733827	+	165	67	0	0
Interval_219	B01	25772592	25772711	+	120	24	0	0
Interval_220	B01	25806088	25806193	+	106	16	8	0
Interval_221	B01	25934925	25935072	+	148	49	0	0
Interval_222	B01	25937591	25937789	+	199	19	7	2
Interval_223	B01	26433288	26433480	+	193	61	28	3
Interval_224	B01	26765573	26765708	+	136	22	0	0
Interval_225	B01	26904582	26904824	+	243	99	3	4
Interval_226	B01	27257613	27257710	+	98	15	4	1
Interval_227	B01	27331412	27331559	+	148	26	18	0
Interval_228	B01	27499957	27500138	+	182	38	0	0
Interval_229	B01	27577601	27577744	+	144	30	23	0
Interval_230	B01	27586629	27586758	+	130	28	11	0
Interval_231	B01	27696895	27697067	+	173	37	9	0
Interval_232	B01	27825102	27825230	+	129	32	0	0
Interval_233	B01	27991479	27991583	+	105	16	6	4
Interval_234	B01	28223225	28223494	+	270	132	14	0
Interval_235	B01	28229772	28229944	+	173	23	0	0
Interval_236	B01	28591613	28591797	+	185	45	12	0
Interval_237	B01	28634961	28635207	+	247	50	17	4
Interval_238	B01	28788031	28788232	+	202	26	7	6
Interval_239	B01	28837840	28837958	+	119	17	0	0
Interval_240	B01	28950178	28950296	+	119	11	0	0
Interval_241	B01	29006057	29006158	+	102	21	0	0
Interval_242	B01	29049429	29049600	+	172	52	0	0
Interval_243	B01	29177681	29177824	+	144	36	0	0
Interval_244	B01	29428800	29428930	+	131	22	0	0
Interval_245	B01	29486075	29486210	+	136	22	0	0
Interval_246	B01	29517732	29517850	+	119	20	2	0
Interval_247	B01	29791070	29791210	+	141	27	0	0
Interval_248	B01	29793857	29794031	+	175	39	0	0
Interval_249	B01	29839840	29840068	+	229	76	44	0
Interval_250	B01	29862579	29862679	+	101	15	10	0
Interval_251	B01	29963879	29964063	+	185	59	18	0
Interval_252	B01	29986624	29986758	+	135	23	3	0
Interval_253	B01	30029256	30029383	+	128	41	0	0
Interval_254	B01	30096268	30096501	+	234	66	0	0
Interval_255	B01	30099813	30100045	+	233	80	0	0
Interval_256	B01	30134789	30134934	+	146	12	0	0
Interval_257	B01	30210937	30211197	+	261	72	0	0
Interval_258	B01	30346212	30346358	+	147	32	0	0
Interval_259	B01	30498196	30498293	+	98	21	0	0
Interval_260	B01	30800049	30800150	+	102	18	8	4
Interval_261	B01	31041046	31041180	+	135	19	5	0
Interval_262	B01	31353014	31353149	+	136	39	0	0
Interval_263	B01	31654499	31654620	+	122	15	0	0
Interval_264	B01	31750359	31750521	+	163	34	0	0
Interval_265	B01	31873591	31873754	+	164	68	0	0
Interval_266	B01	31873828	31874022	+	195	33	0	0
Interval_267	B01	31893357	31893519	+	163	45	0	0
Interval_268	B01	31955930	31956059	+	130	20	0	0
Interval_269	B01	32074691	32074802	+	112	26	0	0
Interval_270	B01	32079592	32079700	+	109	18	18	0
Interval_271	B01	32158937	32159094	+	158	25	8	1
Interval_272	B01	32367678	32367788	+	111	18	0	0
Interval_273	B01	32612266	32612566	+	301	63	0	0
Interval_274	B01	32617678	32617825	+	148	35	0	0
Interval_275	B01	32745136	32745275	+	140	30	15	0
Interval_276	B01	32788933	32789129	+	197	26	19	0
Interval_277	B01	32930485	32930584	+	100	23	2	0
Interval_278	B01	32934166	32934323	+	158	19	10	0
Interval_279	B01	32934553	32934660	+	108	27	4	0
Interval_280	B01	33025398	33025551	+	154	19	15	0
Interval_281	B01	33147164	33147285	+	122	17	16	0
Interval_282	B01	33302301	33302536	+	236	42	0	0
Interval_283	B01	33306515	33306616	+	102	17	0	0
Interval_284	B01	33321427	33321534	+	108	21	0	0
Interval_285	B01	33455929	33456047	+	119	17	0	0
Interval_286	B01	33749618	33749796	+	179	31	7	4
Interval_287	B01	33752030	33752159	+	130	39	0	0
Interval_288	B01	33856418	33856618	+	201	56	0	0
Interval_289	B01	34028999	34029429	+	431	66	6	0
Interval_290	B01	34108731	34108842	+	112	27	0	0
Interval_291	B01	34151274	34151376	+	103	27	0	0
Interval_292	B01	34223129	34223298	+	170	45	0	0
Interval_293	B01	34500720	34500849	+	130	20	0	0
Interval_294	B01	34572160	34572306	+	147	22	0	0
Interval_295	B01	34624352	34624491	+	140	47	0	0
Interval_296	B01	34713816	34713915	+	100	17	0	0
Interval_297	B01	34766849	34767026	+	178	54	0	0
Interval_298	B01	34815787	34815923	+	137	32	0	0
